Bankleitzahl,BIC
10000000,MARKDEF1100
10010010,PBNKDEFFXXX
10010111,ESSEDE5F100
10010222,ABNADEFFBER
10010424,AARBDE5W100
10019610,DXIADEBBXXX
10020200,BHFBDEFF100
10020500,BFSWDE33BER
10020890,HYVEDEMM488
10020890,HYVEDEMM488
10020890,HYVEDEMM488
10020890,HYVEDEMM488
10020890,HYVEDEMM488
10020890,HYVEDEMM488
10030200,BHYPDEB2XXX
10030400,ABKBDEB1XXX
10030500,LOEBDEBBXXX
10030600,GENODEF1OGK
10030700,DLGHDEB1XXX
10033300,SCFBDE33XXX
10040000,COBADEBBXXX
10040010,COBADEFFS01
10040048,COBADEFF910
10040060,COBADEFF060
10040061,COBADEFF061
10040062,COBADEFF102
10040063,COBADEFF103
10040085,COBADEFFINT
10045050,COBADEFFBZB
10050000,BELADEBEXXX
10050005,BELADEB1DB5
10050006,BELADEB1DB6
10050007,BELADEB1DB7
10050008,BELADEB1DB8
10050020,SKPADEB1XXX
10050021,SKPADEB1HOM
10050500,LBSODEB1BLN
10050600,WELADEBBXXX
10050999,DGZFDEFFBER
10060198,GENODED1PA6
10060237,GENODEF1EDG
10061006,GENODED1KDB
10070000,DEUTDEBBXXX
10070000,
10070000,
10070024,DEUTDEDBBER
10070024,
10070024,
10070100,DEUTDEBB101
10070124,DEUTDEDB101
10070848,DEUTDEDB110
10077777,NORSDE51XXX
10080000,DRESDEFF100
10080005,DRESDEFFI26
10080006,DRESDEFFXXX
10080055,DRESDEFF112
10080057,DRESDEFF114
10080085,DRESDEFFI53
10080086,DRESDEFFI71
10080087,DRESDEFFI72
10080088,DRESDEFFXXX
10080089,DRESDEFFI73
10080900,DRESDEFF199
10089260,DRESDEFFI14
10089999,DRESDEFFI99
10090000,BEVODEBBXXX
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090000,
10090300,GENODEF1BSB
10090603,DAAEDED1003
10090603,DAAEDED1042
10090603,DAAEDED1043
10090603,DAAEDED1041
10090603,DAAEDED1049
10090603,DAAEDED1045
10090603,DAAEDED1046
10090603,DAAEDED1048
10090603,
10090900,GENODEF1P01
10110300,MACODEB1XXX
10110400,IBBBDEBBXXX
10110600,QUBKDEBBXXX
10120100,WELADED1WBB
10120600,SCFBDE33XXX
10120760,HYVEDEM1079
10120800,VONEDE33BLN
10130600,ISBKDEFXBER
10130800,BIWBDE33XXX
10220500,BOFSDEB1XXX
10220600,SYBKDE22BER
10310600,TRDADEB1XXX
12016836,KFWIDEFF100
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,
12030000,BYLADEM1001
12030900,MEFIDEMM100
12040000,COBADEBB120
12050555,NOLADE21DVS
12060000,GENODEFF120
12070000,DEUTDEBB172
12070000,DEUTDEBB122
12070000,DEUTDEBB161
12070000,DEUTDEBB180
